Id,Designator,Package,Quantity,Designation,Supplier and ref
1,U5,CFAH0802D-YYH-JP,1,CFAH0802D-YYH-JP,https://www.crystalfontz.com/product/cfah0802dyyhjp-8x2-sunlight-readable-character-lcd
2,BZ1,PS1240P02BT,1,Buzzer,https://www.mouser.com/ProductDetail/TDK/PS1240P02CT3?qs=sGAEpiMZZMs%252b6Ea5iKw4JoP%2fJ%2fqwrEG3
3,C1,CP_Tantalum_Case-T_EIA-3528-12_Reflow,1,10uF,https://www.mouser.com/ProductDetail/81-GRM33C80J104KE15D
4,C2,C_0603_1608Metric,1,10nF,https://www.mouser.com/ProductDetail/80-C0603X103J4HACTU
5,C3,CP_Tantalum_Case-B_EIA-3528-21_Reflow,1,10uF,https://www.mouser.com/ProductDetail/81-GRM33C80J104KE15D
6,"C4,C5",C_0603_1608Metric,2,.1uF,https://www.mouser.com/ProductDetail/81-GRM032R60J104KE5D
7,C6,C_0603_1608Metric,1,1uF,https://www.mouser.com/ProductDetail/81-GRM032R60J104KE5D
8,C7,C_0603_1608Metric,1,10uF,https://www.mouser.com/ProductDetail/81-GRM33C80J104KE15D
9,"C8,C9,C10",C_0603_1608Metric,3,.1uf,https://www.mouser.com/ProductDetail/81-GRM032R60J104KE5D
10,D1,LED_0603_1608Metric,1,LED,https://www.mouser.com/ProductDetail/Kingbright/APT1608ZGCK?qs=sGAEpiMZZMuCm2JlHBGefut9Bg6HSmgVetA7n4GwW1U%3d
11,D2,D_0603_1608Metric,1,D,https://www.mouser.com/ProductDetail/755-RB162VAM-20TR
12,J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
13,J2,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
14,J3,PinHeader_2x03_P2.54mm_Vertical,1,ISP,
15,JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,Jumper_NO_Small,
16,L1,L_Taiyo-Yuden_NR-40xx,1,10uH,https://www.mouser.com/ProductDetail/Murata-Electronics/LQH32CN100K53L?qs=sGAEpiMZZMsg%252by3WlYCkU9cBunQOYkmy5xCln%2fwB8DY%3d
17,Q1,SOT-723,1,2N2219,https://www.mouser.com/ProductDetail/ON-Semiconductor/NSVMMBT2222AM3T5G?qs=sGAEpiMZZMshyDBzk1%2fWi0MKeUdJDRlzEppqIc6hVLa%2fGVP02N3EjQ%3d%3d
18,"Q2,Q3",SOT-23,2,BSS138,https://www.mouser.com/ProductDetail/ON-Semiconductor-Fairchild/BSS138?qs=sGAEpiMZZMvlOED0T0kTWl5MKyjMqq%2fg
19,"R1,R2,R3,R6,R7,R9",R_0805_2012Metric,6,10k,https://www.mouser.com/ProductDetail/603-RC0805FR-0710KL
20,R4,R_0805_2012Metric,1,1K,https://www.mouser.com/ProductDetail/603-RC0805JR-071KL
21,R5,R_0805_2012Metric,1,220,https://www.mouser.com/ProductDetail/Vishay/CRCW0805220RFKEAC?qs=sGAEpiMZZMtG0KNrPCHnjXEaY7S8QU1xcwX9guZuuQ0RKc%2fRmBCCEQ%3d%3d
22,R8,R_0805_2012Metric,1,330,https://www.mouser.com/ProductDetail/652-CR0805-FX3300GLF
23,RV1,Potentiometer_Trimmer_ACP_CA9h2.5_Vertical_Px2.5mm_Py5.0mm,1,10K,https://www.amazon.com/MCIGICM-potentiometer-assortment-Breadboard-Potentiometer/dp/B07C3XHVXV/ref=sr_1_12?s=industrial&ie=UTF8&qid=1527912716&sr=1-12&keywords=Potentiometer
24,SW1,SW_CuK_OS102011MA1QN1_SPDT_Angled,1,SW_SPST,https://www.mouser.com/ProductDetail/611-OS102011MA1QN1
25,U1,SOT-23-5,1,MIC5205-3.3,https://www.mouser.com/ProductDetail/Microchip-Technology-Micrel/MIC5205-33YM5-TR?qs=%2fha2pyFadugo0ZxbbloBhx57kVzAfW2MbJwYSHsb4wmNTgH0ZQ3Drg%3d%3d
26,U2,QFN-24-1EP_3x3mm_P0.4mm_EP1.75x1.6mm,1,MPU-9250,https://www.mouser.com/ProductDetail/TDK-InvenSense/MPU-9250?qs=sGAEpiMZZMve4%2fbfQkoj%252bGX2U5IkiOVxAMRs%252bjynh2I%3d
27,U3,SOIC-14_3.9x8.7mm_P1.27mm,1,TXB0104D,https://www.mouser.com/ProductDetail/Texas-Instruments/TXB0104D?qs=sGAEpiMZZMsty6Jaj0%252bBBhonw%2flHfIB4TqoRjNh7d0k%3d
28,U4,SOT-363_SC-70-6,1,LTC3525-5,https://www.mouser.com/ProductDetail/Analog-Devices-Linear-Technology/LTC3525ESC6-5TRPBF?qs=sGAEpiMZZMtitjHzVIkrqV3wN4vO7OWzyM%252b3%252bQfPliQv%2fiKYb4nieA%3d%3d
29,Y1,OSC_CSTCE8M00G55-R0,1,Crystal_GND2,https://www.mouser.com/ProductDetail/81-CSTCE8M00G55-R0
30,D3,LED_0603_1608Metric_Pad0.67x1.00mm_HandSolder,1,LD271,https://www.mouser.com/ProductDetail/Kingbright/APT1608VBC-D?qs=sGAEpiMZZMuCm2JlHBGefut9Bg6HSmgVsfyCYNObiTs%3d
31,J4,JSTPH2,1,Conn_01x02,https://www.adafruit.com/product/1769
32,U6,TQFP-32_7x7mm_Pitch0.8mm,1,ATMEGA328-AU,https://www.mouser.com/ProductDetail/556-ATMEGA328-AU
